FID;PROVINCE_NAME;POPULATION;L_TP_FACTOR;A_TP_FACTOR;A_TP_DEST;L_TP_DEST
1;ACEH;5281314;;;;
2;BALI;4292154;;;;
3;BANTEN;12689736;;;;
4;BENGKULU;1963300;;;;
5;DIY;3802872;;;;
6;DKI_JAKARTA;10467629;;;;
7;GORONTALO;1185492;;;;
8;JABAR;48683861;;;;
9;JAMBI;3570272;;;;
10;JATENG;34490835;;;;
11;JATIM;39500851;;;;
12;KALBAR;5001664;;;;
13;KALSEL;4182695;;;;
14;KALTARA;716407;;;;
15;KALTENG;2660209;;;;
16;KALTIM;3684835;;;;
17;KEP BABEL;1459873;;;;
18;KEP RIAU;2136521;;;;
19;LAMPUNG;8370485;;;;
20;MALUKU;1773776;;;;
21;MALUT;1232632;;;;
22;NTB;5013687;;;;
23;NTT;5371519;;;;
24;PAPUA;3322526;;;;
25;PAPUABARAT;937458;;;;
26;RIAU;6814909;;;;
27;SULBAR;1335554;;;;
28;SULSEL;8771970;;;;
29;SULTENG;3010443;;;;
30;SULTRA;2653654;;;;
31;SULUT;2484392;;;;
32;SUMBAR;5382077;;;;
33;SUMSEL;8370485;;;;
34;SUMUT;14415391;;;;
